al,co,cr,cu,fe,ni
40,23,24,0,8,5
43,18,20,7,7,5
47,16,16,5,9,7
42,20,23,0,6,9
42,16,22,5,10,5
43,16,22,6,7,6
47,16,17,5,7,8
43,20,17,6,9,5
47,18,15,6,9,5
42,17,26,0,8,7
47,14,18,5,10,6
43,16,23,5,6,7
46,22,15,5,6,6
44,15,23,5,6,7
45,17,17,7,9,5
46,16,17,6,8,7
42,23,20,0,7,8
42,20,18,5,10,5
40,23,25,0,7,5
43,19,20,0,9,9
46,14,23,5,6,6
41,18,23,5,8,5
41,21,20,5,8,5
45,15,19,6,8,7
43,18,18,6,9,6
40,22,25,0,8,5
45,16,17,6,10,6
43,15,21,5,11,5
46,19,15,5,8,7
45,17,16,5,11,6
43,16,23,0,10,8
43,19,20,7,6,5
47,21,15,6,6,5
42,21,22,0,6,9
42,20,21,5,5,7
43,16,25,5,6,5
45,15,18,5,12,5
47,15,19,5,6,8
44,16,25,5,5,5
43,19,19,7,7,5
46,18,16,7,8,5
44,17,18,7,9,5
46,15,17,5,11,6
41,24,23,0,5,7
43,16,20,6,9,6
44,17,17,5,12,5
42,20,28,0,5,5
47,18,15,5,8,7
46,18,16,5,7,8
47,14,19,6,9,5
45,16,17,6,11,5
42,19,19,6,9,5
47,16,19,6,5,7
44,16,18,6,10,6
42,19,22,5,5,7
44,16,18,6,11,5
42,18,28,0,7,5
44,15,19,5,10,7
42,18,23,6,6,5
44,19,17,7,8,5
44,14,21,5,11,5
43,21,18,6,6,6
41,19,25,0,8,7
43,27,18,0,7,5
40,24,24,0,7,5
45,20,17,5,5,8
45,15,18,6,10,6
43,17,22,0,9,9
45,14,21,6,8,6
47,15,18,5,7,8
42,20,22,0,7,9
44,17,17,5,10,7
43,18,20,0,12,7
45,14,20,6,10,5
43,18,20,6,6,7
41,21,23,5,5,5
46,15,18,6,8,7
42,18,20,5,8,7
42,17,21,6,9,5
46,15,19,7,8,5
43,18,25,0,5,9
42,17,24,0,12,5
44,19,16,6,10,5
41,18,22,5,9,5
42,19,21,0,11,7
46,14,19,6,10,5
45,15,23,5,5,7
46,15,17,5,10,7
43,17,20,5,7,8
42,18,24,5,5,6
41,22,21,0,11,5
42,17,24,5,6,6
42,16,22,5,9,6
46,13,22,5,9,5
46,13,21,5,9,6
47,14,23,5,6,5
46,14,19,6,9,6
43,26,19,0,5,7
45,15,24,5,5,6
42,19,21,6,6,6
45,15,20,7,8,5
42,19,20,6,7,6
43,18,19,7,8,5
42,17,20,5,11,5
43,27,19,0,5,6
45,14,20,6,9,6
41,22,20,5,7,5
43,17,21,0,12,7
46,19,16,5,6,8
41,22,22,5,5,5
43,22,19,0,7,9
44,15,19,5,12,5
42,18,19,5,11,5
42,17,22,5,7,7
44,16,19,7,9,5
45,14,19,5,11,6
44,20,17,7,7,5
43,18,19,5,7,8
43,18,21,7,6,5
41,20,20,5,9,5
44,20,16,5,8,7
41,19,24,5,6,5
44,17,17,6,11,5
45,15,18,6,11,5
45,19,15,5,11,5
45,19,15,5,10,6
44,20,18,6,5,7
45,19,18,7,5,6
42,19,23,0,7,9
43,15,22,5,8,7
47,19,15,6,7,6
46,19,15,6,8,6
41,22,21,0,10,6
47,14,18,5,9,7
41,20,27,0,6,6
46,13,21,5,10,5
47,15,17,6,10,5
42,17,20,5,10,6
47,13,21,5,9,5
40,22,24,0,9,5
47,16,16,6,10,5
45,17,16,5,10,7
44,17,17,6,10,6
47,19,16,7,6,5
47,17,15,5,10,6
47,18,16,5,6,8
47,15,17,6,9,6
45,20,15,6,9,5
45,19,16,7,8,5
43,16,19,5,11,6
44,15,21,5,7,8
47,20,14,5,9,5
44,14,22,5,8,7
42,17,21,5,8,7
43,15,24,5,7,6
47,14,19,6,8,6
46,16,17,7,9,5
41,20,22,5,6,6
43,17,18,5,11,6
47,14,18,5,11,5
44,22,16,6,7,5
41,19,24,0,9,7
43,17,20,7,8,5
44,14,21,5,9,7
42,19,23,6,5,5
42,17,23,6,7,5
43,20,19,7,6,5
44,22,17,5,5,7
47,22,15,5,5,6
44,19,17,5,7,8
45,17,16,5,12,5
47,16,16,6,9,6
44,17,20,7,6,6
42,18,19,5,10,6
43,19,19,6,6,7
46,13,22,5,8,6
42,19,27,0,5,7
42,17,25,5,6,5
45,14,19,5,10,7
47,16,17,7,8,5
43,19,22,0,6,10
46,15,21,5,5,8
42,23,19,0,9,7
42,18,25,5,5,5
46,18,15,6,10,5
47,15,21,6,5,6
45,21,15,6,8,5
43,15,22,6,9,5
43,17,21,7,7,5
44,15,25,5,6,5
43,18,20,0,11,8
40,22,26,0,7,5
47,17,16,5,7,8
47,18,15,6,8,6
44,18,17,6,8,7
44,19,16,5,9,7
44,15,19,6,10,6
43,23,18,0,8,8
46,17,16,6,8,7
43,17,25,0,6,9
42,20,18,5,9,6
47,13,21,5,8,6
42,24,19,0,8,7
43,18,20,0,13,6
44,20,16,6,8,6
43,15,21,5,9,7
42,19,24,0,6,9
44,18,17,7,9,5
45,16,18,7,8,6
43,17,21,0,11,8
45,15,19,7,9,5
43,19,20,6,5,7
44,16,22,5,5,8
46,15,22,6,5,6
42,20,24,0,5,9
43,22,17,6,7,5
45,19,17,7,6,6
47,13,20,5,9,6
43,20,22,0,5,10
40,24,23,0,8,5
47,15,22,6,5,5
42,18,20,6,8,6
43,17,21,6,6,7
45,17,16,6,10,6
46,14,18,5,11,6
43,16,23,0,13,5
45,21,17,7,5,5
44,21,18,7,5,5
44,15,19,6,11,5
43,20,17,5,8,7
43,16,27,0,7,7
42,22,19,0,11,6
43,16,26,0,7,8
45,17,16,6,11,5
43,20,21,0,6,10
44,16,23,6,5,6
42,22,20,6,5,5
46,14,20,5,7,8
41,21,24,0,6,8
42,19,19,5,8,7
40,24,25,0,6,5
41,21,23,0,7,8
44,19,18,7,6,6
42,21,20,5,5,7
44,15,20,6,8,7
43,17,18,5,12,5
40,21,25,0,9,5
47,17,15,5,11,5
41,22,23,0,6,8
41,18,26,0,10,5
45,17,17,7,8,6
41,23,21,0,8,7
47,15,20,5,5,8
47,13,22,5,8,5
44,19,16,6,9,6
45,13,22,5,9,6
46,15,17,6,10,6
43,16,19,5,12,5
46,14,18,5,10,7
43,17,21,0,13,6
44,19,19,7,5,6
42,18,26,0,6,8
41,19,21,5,8,6
43,17,28,0,6,6
46,14,24,5,6,5
45,19,16,5,7,8
43,18,21,6,5,7
43,20,20,7,5,5
42,21,21,0,7,9
45,16,17,6,9,7
46,15,17,5,12,5
43,19,21,7,5,5
42,22,19,6,6,5
45,18,16,6,8,7
45,14,22,6,7,6
40,23,23,0,9,5
47,13,20,5,10,5
45,13,22,5,10,5
47,17,16,7,8,5
40,21,26,0,8,5
41,20,24,5,5,5
43,17,23,6,5,6
47,16,20,7,5,5
44,14,22,6,9,5
41,19,23,5,6,6
46,18,15,6,9,6
43,15,26,0,10,6
45,18,16,7,9,5
46,15,18,7,9,5
43,15,23,5,7,7
46,17,16,7,9,5
45,15,18,6,9,7
46,22,15,6,6,5
43,19,19,0,12,7
44,18,16,5,11,6
44,17,18,7,8,6
46,13,23,5,8,5
43,16,21,5,7,8
43,16,19,5,10,7
43,15,21,6,10,5
42,22,18,5,7,6
42,20,21,6,5,6
42,26,19,0,7,6
43,15,25,0,11,6
43,22,18,5,5,7
42,22,19,0,12,5
41,18,26,0,9,6
43,20,17,6,8,6
42,16,24,5,7,6
41,20,24,0,7,8
43,15,25,0,10,7
43,17,19,6,8,7
42,22,21,0,6,9
42,18,23,5,5,7
43,15,25,5,7,5
44,16,18,6,9,7
46,21,14,5,9,5
45,19,15,6,10,5
44,14,24,5,7,6
44,14,20,5,11,6
42,17,23,5,6,7
46,16,16,5,12,5
45,13,23,5,9,5
42,16,21,5,11,5
43,25,19,0,5,8
44,17,22,7,5,5
42,17,21,6,8,6
44,20,17,6,6,7
43,16,28,0,8,5
43,19,23,0,5,10
43,20,18,7,7,5
43,19,21,0,7,10
43,23,19,0,6,9
43,17,24,6,5,5
45,13,21,5,10,6
42,16,21,5,10,6
47,22,14,5,7,5
43,21,17,5,7,7
41,18,22,5,8,6
46,15,23,6,5,5
45,14,23,5,6,7
45,14,19,5,12,5
43,16,23,6,6,6
43,17,18,5,10,7
45,22,16,5,5,7
46,15,17,6,11,5
47,17,15,5,9,7
40,23,26,0,6,5
45,14,21,5,7,8
45,14,23,6,7,5
46,13,21,5,8,7
42,19,19,6,8,6
47,17,17,7,6,6
43,28,19,0,5,5
43,17,18,6,11,5
47,17,18,7,5,6
42,18,22,0,13,5
42,21,19,5,6,7
47,15,18,7,8,5
42,18,22,0,10,8
44,14,21,6,10,5
45,14,24,5,6,6
44,16,19,7,8,6
42,17,22,6,7,6
44,16,24,6,5,5
44,22,17,6,5,6
45,20,15,5,8,7
42,19,22,6,5,6
43,21,16,5,10,5
43,21,21,0,5,10
47,20,14,5,8,6
41,25,20,0,9,5
46,16,17,7,8,6
44,15,23,6,6,6
42,19,18,5,11,5
40,22,24,0,8,6
43,20,19,0,9,9
43,17,19,7,9,5
45,14,19,6,10,6
42,18,19,6,10,5
43,15,20,5,11,6
42,17,20,6,10,5
43,16,19,6,11,5
45,17,18,6,6,8
44,14,23,5,7,7
43,18,22,0,7,10
43,15,22,6,8,6
41,20,22,0,11,6
43,16,24,6,6,5
45,15,22,5,5,8
41,18,27,0,9,5
42,16,25,5,7,5
42,27,19,0,7,5
43,19,18,6,7,7
47,16,18,7,6,6
40,25,24,0,6,5
42,22,19,0,10,7
40,25,23,0,7,5
41,18,21,5,10,5
47,14,18,6,9,6
43,16,22,0,12,7
43,17,18,6,10,6
43,16,19,6,10,6
43,15,21,6,9,6
44,18,16,5,12,5
41,22,24,0,5,8
47,19,16,6,5,7
47,19,14,5,10,5
41,22,21,0,9,7
46,14,19,6,8,7
44,14,21,6,9,6
42,20,18,6,9,5
41,17,23,5,9,5
47,14,18,6,10,5
43,15,26,0,9,7
44,14,20,5,10,7
43,24,18,0,7,8
44,15,21,7,8,5
41,24,20,0,10,5
46,20,16,5,5,8
45,17,19,6,5,8
47,14,19,5,7,8
45,19,15,5,9,7
43,19,19,0,13,6
41,19,23,0,11,6
45,15,19,7,8,6
42,17,28,0,8,5
47,20,16,7,5,5
45,13,23,5,8,6
41,20,20,5,8,6
43,20,19,6,5,7
45,16,19,6,6,8
41,22,22,0,7,8
43,16,20,6,8,7
45,14,20,6,8,7
44,21,15,5,10,5
47,17,15,6,10,5
42,17,20,5,9,7
43,21,18,0,13,5
45,15,25,5,5,5
41,19,20,5,10,5
43,18,17,5,11,6
46,22,14,5,8,5
42,18,24,0,7,9
45,17,19,5,5,9
42,16,22,6,9,5
44,15,20,7,9,5
46,14,21,5,6,8
46,20,14,5,10,5
43,19,19,0,11,8
42,17,27,0,7,7
41,20,23,5,5,6
43,15,26,0,11,5
45,20,16,5,6,8
44,17,17,6,9,7
45,20,15,6,8,6
42,18,28,0,6,6
44,14,22,6,8,6
43,18,18,7,9,5
44,15,19,6,9,7
43,21,17,6,7,6
43,18,18,6,8,7
45,14,19,6,11,5
41,27,22,0,5,5
45,17,18,5,6,9
42,19,18,5,10,6
42,16,22,5,8,7
40,23,25,0,6,6
47,13,20,5,8,7
43,17,22,7,6,5
41,17,24,5,8,5
47,15,17,6,8,7
43,16,21,7,8,5
43,25,17,0,10,5
41,20,22,0,12,5
44,18,16,6,11,5
46,14,18,6,10,6
43,16,23,0,9,9
45,16,17,7,10,5
42,19,28,0,5,6
45,16,19,5,6,9
47,19,14,5,9,6
41,20,23,0,8,8
40,21,25,0,8,6
41,20,25,0,6,8
46,15,17,6,9,7
45,13,21,5,11,5
45,19,15,6,9,6
46,17,15,5,11,6
45,18,18,6,5,8
45,16,22,7,5,5
46,17,18,6,5,8
42,16,26,0,10,6
44,18,16,5,10,7
46,14,18,5,12,5
46,15,18,7,8,6
46,16,18,6,6,8
47,17,15,6,9,6
42,20,20,0,13,5
47,13,19,5,10,6
44,17,21,7,5,6
45,13,21,5,9,7
42,18,19,5,9,7
43,21,18,0,10,8
43,18,17,5,12,5
44,16,18,7,10,5
45,16,18,6,7,8
42,21,20,6,5,6
45,17,16,6,9,7
47,22,15,6,5,5
47,21,14,5,7,6
41,25,22,0,5,7
44,15,24,6,6,5
44,18,17,7,8,6
41,23,23,0,5,8
43,15,20,5,10,7
43,18,20,7,6,6
44,18,16,6,10,6
45,15,23,6,5,6
46,17,18,5,5,9
47,16,16,6,8,7
43,15,20,5,12,5
40,21,24,0,10,5
41,21,19,5,9,5
47,14,22,6,6,5
41,22,19,5,8,5
41,19,23,0,12,5
47,21,15,5,5,7
44,14,20,5,12,5
43,18,22,7,5,5
43,22,18,6,5,6
44,17,19,6,6,8
45,22,16,6,5,6
47,14,20,5,6,8
42,27,20,0,5,6
45,13,22,5,8,7
40,23,23,0,8,6
41,19,28,0,7,5
43,24,17,0,11,5
45,18,15,5,11,6
43,21,19,7,5,5
41,23,22,0,6,8
46,16,18,5,6,9
41,20,22,0,10,7
40,24,24,0,6,6
46,17,16,7,8,6
45,18,18,5,5,9
42,17,20,6,9,6
43,20,18,6,6,7
42,17,26,0,7,8
43,16,20,7,9,5
42,21,19,6,6,6
42,26,20,0,5,7
44,20,18,7,5,6
43,15,27,0,9,6
42,16,23,5,7,7
41,19,23,0,10,7
46,17,17,6,6,8
43,20,20,0,7,10
41,21,25,0,5,8
41,18,27,0,8,6
44,15,22,6,6,7
43,24,17,0,10,6
43,21,20,0,6,10
46,20,14,5,9,6
43,17,22,6,5,7
44,17,17,7,10,5
43,16,25,0,7,9
41,21,22,0,8,8
42,15,23,5,10,5
47,16,19,7,5,6
45,15,18,7,10,5
43,16,24,5,5,7
42,18,19,6,9,6
41,18,21,5,9,6
41,19,21,6,8,5
43,15,25,0,12,5
41,27,21,0,6,5
40,22,23,0,10,5
42,15,24,5,9,5
41,26,20,0,8,5
46,16,16,5,9,8
46,16,19,5,5,9
45,18,16,7,8,6
46,16,19,6,5,8
43,16,25,5,5,6
46,14,18,6,11,5
41,24,20,0,9,6
42,16,25,0,11,6
43,21,16,5,9,6
43,19,19,7,6,6
41,20,22,6,6,5
43,18,20,0,10,9
44,14,25,5,7,5
46,17,15,5,10,7
43,18,17,6,11,5
43,17,21,0,10,9
45,14,19,6,9,7
42,16,26,0,11,5
42,22,18,6,7,5
45,16,17,7,9,6
46,19,15,7,8,5
47,14,22,5,5,7
46,13,21,6,9,5
43,15,27,0,10,5
46,21,14,5,8,6
47,14,23,5,5,6
41,17,22,5,10,5
43,18,20,0,14,5
44,14,20,6,10,6
42,20,20,0,10,8
43,21,18,7,6,5
43,20,16,5,11,5
44,17,19,5,6,9
42,17,24,6,6,5
47,15,16,5,11,6
45,16,18,5,7,9
45,16,20,5,5,9
40,20,26,0,9,5
47,13,19,5,9,7
43,16,22,6,6,7
45,18,17,6,6,8
44,18,19,6,5,8
46,14,20,7,8,5
45,17,17,6,7,8
46,14,23,6,6,5
42,16,21,5,9,7
45,16,20,6,5,8
42,17,23,0,10,8
43,15,23,6,7,6
42,16,21,6,10,5
42,23,21,0,5,9
44,21,15,5,9,6
41,18,26,0,8,7
41,22,21,5,5,6
43,25,17,0,9,6
45,13,24,5,8,5
43,16,22,7,7,5
42,19,18,6,10,5
44,15,22,7,7,5
41,19,20,5,9,6
43,27,18,0,6,6
42,16,25,0,10,7
47,19,15,7,7,5
41,19,25,0,7,8
47,15,16,5,10,7
42,18,24,6,5,5
44,22,16,5,6,7
40,21,27,0,7,5
44,15,24,5,5,7
42,16,26,0,9,7
44,18,18,6,6,8
44,16,18,7,9,6
46,17,17,5,6,9
43,26,17,0,9,5
42,15,23,5,9,6
47,20,14,6,8,5
42,17,23,6,6,6
43,15,20,6,10,6
43,18,17,5,10,7
44,20,16,7,8,5
45,17,16,7,10,5
40,22,26,0,6,6
44,20,15,5,11,5
41,17,23,5,8,6
42,19,20,7,7,5
43,15,20,6,11,5
47,13,23,5,7,5
40,21,24,0,9,6
44,14,20,6,11,5
45,13,20,5,11,6
44,15,18,5,11,7
41,22,20,5,6,6
43,18,17,6,10,6
44,16,19,6,7,8
45,15,18,7,9,6
45,15,19,6,7,8
41,25,20,0,8,6
44,18,19,5,5,9
42,21,17,5,10,5
44,17,18,6,7,8
44,15,20,7,8,6
46,14,18,6,9,7
43,17,19,7,8,6
41,21,28,0,5,5
44,19,16,7,9,5
43,15,24,0,10,8
46,17,15,6,10,6
42,16,27,0,10,5
46,18,17,6,5,8
42,16,27,0,9,6
46,16,17,6,7,8
44,16,20,6,6,8
43,15,24,6,7,5
42,20,18,5,8,7
43,18,21,0,8,10
42,18,23,6,5,6
42,18,25,0,6,9
45,18,15,5,12,5
43,17,21,0,14,5
42,16,22,6,8,6
43,22,17,5,6,7
47,14,17,5,11,6
41,21,21,0,12,5
42,17,23,0,13,5
46,17,15,5,12,5
41,18,22,6,8,5
42,18,21,5,6,8
43,20,16,5,10,6
47,13,19,5,11,5
43,17,23,0,7,10
47,14,17,5,10,7
47,16,16,7,9,5
46,14,23,5,5,7
47,18,15,7,8,5
43,19,20,7,5,6
46,14,19,7,9,5
45,18,15,5,10,7
45,13,20,5,10,7
43,17,21,7,6,6
44,15,19,7,10,5
46,15,19,6,6,8
45,14,25,5,6,5
43,16,19,6,9,7
46,13,20,6,9,6
47,14,18,6,8,7
45,14,20,7,9,5
41,20,20,6,8,5
44,20,17,7,6,6
45,18,18,8,6,5
44,20,15,5,10,6
47,15,17,7,9,5
46,13,21,6,8,6
44,13,23,5,9,6
46,18,15,6,8,7
43,18,24,0,5,10
46,17,15,6,11,5
44,21,17,5,5,8
47,21,15,6,5,6
46,15,19,5,6,9
44,13,22,5,10,6
45,15,17,6,11,6
45,17,18,8,7,5
46,13,20,6,10,5
45,18,15,6,11,5
44,13,23,5,10,5
42,19,21,7,6,5
44,16,20,5,6,9
47,18,15,5,7,8
40,22,27,0,6,5
45,14,21,7,8,5
40,22,23,0,9,6
40,20,25,0,10,5
46,15,18,6,7,8
46,19,15,5,7,8
44,16,17,6,11,6
47,13,20,6,9,5
41,20,19,5,10,5
43,17,18,6,9,7
46,13,22,6,8,5
45,15,24,6,5,5
44,19,16,6,8,7
41,19,24,5,5,6
43,17,27,0,5,8
45,15,19,5,7,9
45,18,15,6,10,6
43,15,24,5,6,7
45,18,17,5,6,9
44,17,17,7,9,6
45,17,19,8,6,5
47,19,14,6,9,5
44,15,25,5,5,6
45,15,20,6,6,8
42,18,20,7,8,5
43,15,25,5,6,6
46,18,15,7,9,5
40,25,22,0,8,5
41,19,25,5,5,5
42,17,19,5,11,6
43,19,18,7,7,6
44,15,18,6,11,6
46,18,17,5,5,9
44,14,23,6,7,6
40,25,25,0,5,5
41,17,22,5,9,6
42,21,18,5,7,7
45,15,20,5,6,9
45,14,18,5,11,7
41,19,23,6,6,5
46,18,15,5,8,8
42,22,20,0,7,9
42,20,18,6,8,6
44,14,21,6,8,7
46,19,14,5,10,6
45,17,17,5,7,9
45,13,22,6,9,5
44,14,22,5,7,8
42,17,25,5,5,6
42,28,20,0,5,5
44,18,18,5,6,9
45,14,23,6,6,6
43,15,22,5,7,8
42,15,24,5,8,6
47,13,21,6,8,5
42,16,21,6,9,6
43,21,16,6,9,5
42,18,20,5,7,8
43,20,17,7,8,5
42,22,19,5,5,7
40,24,26,0,5,5
46,15,17,7,10,5
44,16,19,5,7,9
42,15,22,5,10,6
46,17,18,8,6,5
43,18,18,7,8,6
43,18,21,7,5,6
44,22,16,6,6,6
42,25,18,0,10,5
46,14,24,5,5,6
43,15,21,6,8,7
46,20,14,6,9,5
45,13,21,6,10,5
46,19,14,5,11,5
42,16,25,0,12,5
42,15,22,5,11,5
42,19,20,6,6,7
45,13,21,6,9,6
46,15,18,5,7,9
41,17,25,5,7,5
43,19,20,0,8,10
47,21,14,6,7,5
45,17,16,7,9,6
42,17,19,5,12,5
43,15,27,0,8,7
42,16,24,6,7,5
43,19,19,0,14,5
47,18,14,5,10,6
44,21,15,6,9,5
40,20,27,0,8,5
47,14,19,7,8,5
44,17,18,5,7,9
47,15,16,6,10,6
42,19,18,5,9,7
44,15,19,7,9,6
43,16,20,7,8,6
42,16,20,5,11,6
43,22,20,0,5,10
47,19,16,7,5,6
43,17,18,7,10,5
40,20,26,0,8,6
47,19,15,6,6,7
43,17,22,0,8,10
42,17,21,5,7,8
42,25,20,0,5,8
47,13,20,6,8,6
43,24,19,0,5,9
43,20,18,0,12,7
40,20,23,5,7,5
47,16,15,5,11,6
41,18,24,0,12,5
43,22,17,6,6,6
42,17,24,5,5,7
43,20,16,6,10,5
42,16,25,5,6,6
41,20,27,0,5,7
44,14,20,6,9,7
44,13,22,5,11,5
42,21,19,0,11,7
46,21,14,6,8,5
40,20,25,0,9,6
43,23,17,0,12,5
41,18,21,6,9,5
45,18,19,8,5,5
42,15,25,5,8,5
42,19,19,7,8,5
45,15,17,6,10,7
46,15,17,7,9,6
42,16,23,6,7,6
44,16,17,6,12,5
44,13,24,5,9,5
41,18,28,0,8,5
40,24,25,0,5,6
40,21,22,5,7,5
45,18,17,8,7,5
46,13,20,5,8,8
43,14,21,5,11,6
42,19,18,6,9,6
44,18,16,6,9,7
43,17,24,0,6,10
45,16,19,8,7,5
43,16,19,7,10,5
44,20,15,6,10,5
43,19,19,0,10,9
43,24,17,0,9,7
41,21,19,5,8,6
46,18,17,8,6,5
47,19,14,5,8,7
43,17,26,0,5,9
45,14,22,6,6,7
46,14,19,7,8,6
41,19,20,6,9,5
42,21,18,6,7,6
42,18,22,0,9,9
47,17,15,6,8,7
44,18,19,8,6,5
46,17,17,8,7,5
46,18,18,8,5,5
45,21,16,5,5,8
44,20,16,5,7,8
45,21,14,5,10,5
43,20,19,7,5,6
44,17,19,8,7,5
40,20,22,5,8,5
46,22,15,5,5,7
42,24,19,0,7,8
47,16,15,5,10,7
47,16,17,6,6,8
47,15,17,7,8,6
42,17,21,7,8,5
42,18,22,5,5,8
45,13,22,6,8,6
44,15,18,6,12,5
45,20,15,7,8,5
45,15,17,5,10,8
44,13,22,5,9,7
43,25,18,0,6,8
42,24,18,0,11,5
47,15,16,5,12,5
45,15,17,6,12,5
44,14,24,5,6,7
45,14,18,6,11,6
44,14,24,6,7,5
45,14,20,7,8,6
47,18,14,5,11,5
47,16,16,7,8,6
40,23,22,0,10,5
45,19,15,7,9,5
45,22,14,5,9,5
44,14,19,5,11,7
44,15,18,6,10,7
41,23,21,0,7,8
42,16,20,5,12,5
40,25,23,0,6,6
42,21,17,5,9,6
47,22,14,5,6,6
44,18,18,8,7,5
44,18,16,7,10,5
46,16,18,8,7,5
44,16,17,6,10,7
42,19,21,6,5,7
42,16,24,0,11,7
41,24,22,0,5,8
47,14,17,6,10,6
46,17,16,6,7,8
46,15,20,5,5,9
42,17,19,6,11,5
44,15,20,6,7,8
44,16,17,5,13,5
42,16,24,5,6,7
42,23,20,0,6,9
45,13,20,5,12,5
46,18,16,6,6,8
42,20,17,5,11,5
42,18,18,5,11,6
47,13,19,6,9,6
43,15,20,6,9,7
44,22,17,7,5,5
47,14,21,5,5,8
45,14,19,7,10,5
40,21,23,5,6,5
42,20,20,5,5,8
43,16,26,5,5,5
46,14,22,5,5,8
47,15,16,6,11,5
46,13,21,5,7,8
43,20,18,7,6,6
43,21,18,6,5,7
44,16,21,5,5,9
43,20,18,0,13,6
46,20,15,5,6,8
47,14,24,5,5,5
42,24,18,0,10,6
45,13,20,6,10,6
43,21,17,7,7,5
44,18,17,6,7,8
47,16,17,5,6,9
46,17,15,6,9,7
41,20,22,5,5,7
40,23,26,0,5,6
42,16,27,0,8,7
43,18,29,0,5,5
43,17,28,0,5,7
42,18,21,0,12,7
45,19,15,6,8,7
44,16,21,6,5,8
43,26,17,0,8,6
41,20,23,6,5,5
43,15,23,0,12,7
46,15,20,6,5,8
47,15,21,7,5,5
42,18,18,5,12,5
41,20,19,5,9,6
44,13,24,5,8,6
42,17,19,5,10,7
46,17,19,8,5,5
44,13,21,5,11,6
42,25,18,0,9,6
47,13,19,6,10,5
43,14,21,5,10,7
42,19,19,5,7,8
46,19,14,6,10,5
45,16,16,6,12,5
43,15,21,7,9,5
41,19,26,0,6,8
41,19,28,0,6,6
42,27,19,0,6,6
41,16,24,5,9,5
46,16,19,8,6,5
43,15,24,0,13,5
41,20,26,0,5,8
42,20,21,7,5,5
45,15,17,5,13,5
43,17,29,0,6,5
46,13,19,5,12,5
47,17,15,7,9,5
43,17,20,6,6,8
47,19,14,6,8,6
43,16,18,5,11,7
45,13,23,6,8,5
45,14,24,6,6,5
42,17,22,7,7,5
47,15,18,6,6,8
44,14,25,5,6,6
44,17,16,6,11,6
44,17,16,5,11,7
43,16,24,6,5,6
47,14,17,5,12,5
42,17,20,6,8,7
43,20,17,5,7,8
42,17,19,6,10,6
44,17,20,7,5,7
44,15,20,5,7,9
43,20,18,0,11,8
45,14,18,6,10,7
46,15,22,7,5,5
42,17,25,0,7,9
45,14,22,7,7,5
44,16,23,7,5,5
45,14,19,7,9,6
43,18,19,6,6,8
42,22,19,6,5,6
43,16,18,6,11,6
41,24,20,0,8,7
46,20,14,5,8,7
47,13,23,5,6,6
44,13,23,5,8,7
44,19,15,5,11,6
41,18,21,5,8,7
47,15,18,5,6,9
43,19,16,5,11,6
46,13,20,6,8,7
42,15,23,5,8,7
42,16,20,5,10,7
42,26,19,0,6,7
47,14,18,7,9,5
44,16,17,5,10,8
40,26,24,0,5,5
44,19,16,7,8,6
43,15,22,7,8,5
42,17,22,6,6,7
44,14,21,7,9,5
43,17,18,7,9,6
47,15,16,6,9,7
47,16,15,6,10,6
46,18,15,7,8,6
40,21,24,0,8,7
43,15,23,0,11,8
45,18,16,6,7,8
44,13,21,5,10,7
40,25,24,0,5,6
42,18,19,7,9,5
44,14,19,6,11,6
45,16,17,7,8,7
43,18,17,6,9,7
46,13,19,5,9,8
41,17,21,5,11,5
43,14,21,5,12,5
43,16,19,7,9,6
42,18,27,0,5,8
42,17,26,5,5,5
46,14,18,7,10,5
47,13,18,5,10,7
42,16,20,6,11,5
45,17,20,8,5,5
42,15,22,5,9,7
41,16,23,5,10,5
43,17,23,7,5,5
41,17,23,6,8,5
42,17,20,7,9,5
45,16,20,8,6,5
41,22,20,6,6,5
40,26,22,0,7,5
42,20,17,5,10,6
42,15,23,6,9,5
45,15,21,5,5,9
42,18,19,6,8,7
47,13,20,5,7,8
41,17,26,0,10,6
47,13,18,5,11,6
43,17,19,6,7,8
47,18,14,5,9,7
46,19,14,5,9,7
41,18,25,0,8,8
43,15,28,0,9,5
40,22,22,5,6,5
41,27,20,0,7,5
42,20,19,5,6,8
42,18,21,0,13,6
43,19,16,5,12,5
46,14,19,6,7,8
43,18,17,7,10,5
46,22,15,6,5,6
44,19,17,6,6,8
41,17,22,6,9,5
42,22,18,5,6,7
40,21,21,5,8,5
47,14,17,6,11,5
45,16,16,5,10,8
42,18,18,6,11,5
45,21,14,5,9,6
43,15,19,5,11,7
45,18,15,6,9,7
45,13,20,6,11,5
46,18,16,5,6,9
43,16,23,7,6,5
47,18,14,6,10,5
43,17,20,5,6,9
40,19,24,5,7,5
43,20,16,5,9,7
44,20,15,5,9,7
41,19,23,5,5,7
46,17,16,5,7,9
43,21,18,0,9,9
47,14,22,6,5,6
40,23,22,0,9,6
40,23,27,0,5,5
45,14,24,5,5,7
42,19,22,7,5,5
46,12,22,5,9,6
45,15,18,7,8,7
43,20,16,6,9,6
45,16,16,5,13,5
43,16,26,0,6,9
40,20,24,5,6,5
44,15,21,6,6,8
43,25,17,0,8,7
45,22,16,7,5,5
44,20,15,6,9,6
44,17,16,6,12,5
46,14,18,7,9,6
42,21,17,6,9,5
42,16,20,6,10,6
42,17,22,0,12,7
41,22,21,6,5,5
43,15,26,5,6,5
